cod_ies;rut_ies;tipo_soc
959;65.196.797-k;Fundación
382;96.656.470-9;Sociedad Anónima
534;96.925.480-8;Sociedad Anónima
456;74.822.900-0;Fundación
312;77.630.220-1;Sociedad Anónima
236;87.615.600-8;Sociedad por Acciones
218;72.067.800-4;Fundación
908;62.000.770-6;Corporación de Derecho Público
902;53.333.710-4;Corporación de Derecho Público
909;65.195.573-4;Corporación de Derecho Público
919;65.199.131-5;Corporación de Derecho Público
910;61.999.280-6;Corporación de Derecho Público
916;65.148.017-5;Corporación de Derecho Público
918;61.999.290-3;Corporación de Derecho Público
917;62.000.400-6;Corporación de Derecho Público
920;62.000.760-9;Corporación de Derecho Público
906;65.154.398-3;Corporación de Derecho Público
911;65.165.411-4;Corporación de Derecho Público
915;65.201.852-1;Corporación de Derecho Público
913;65.199.122-6;Corporación de Derecho Público
914;61.999.250-4;Corporación de Derecho Público
912;62.000.750-1;Corporación de Derecho Público
435;96.757.390-6;Sociedad Anónima
730;76.067.163-0;Sociedad Anónima
426;78.566.330-6;Corporación de Derecho Privado
430;87.020.800-6;Corporación de Derecho Privado
214;80.494.400-1;Sociedad de Responsabilidad Limitada
241;71.986.500-3;Fundación
328;88.639.900-6;Sociedad Anónima
331;79.642.040-5;Sociedad de Responsabilidad Limitada
257;70.906.000-7;Corporación de Derecho Privado
427;78.346.080-7;Sociedad de Responsabilidad Limitada
450;96.841.160-8;Corporación de Derecho Privado
701;76.680.700-3;Sociedad de Responsabilidad Limitada
319;79.524.160-4;Sociedad de Responsabilidad Limitada
691;77.692.980-8;Sociedad de Responsabilidad Limitada
629;99.538.520-1;Corporación de Derecho Privado
367;65.124.731-4;Fundación
260;84.694.600-4;Corporación de Derecho Privado
633;96.986.340-5;Sociedad Anónima
99;82.672.500-1;Fundación
143;96.621.640-9;Sociedad por Acciones
144;79.860.950-5;Corporación de Derecho Privado
108;96.630.330-1;Sociedad Anónima
951;65.163.213-7;Fundación
123;65.121.264-2;Corporación de Derecho Privado
170;78.245 .360-2;Sociedad de Responsabilidad Limitada
176;79.772.200-6;Sociedad Anónima
120;86.724.300-3;Sociedad de Responsabilidad Limitada
139;96.544.210-3;Corporación de Derecho Privado
111;72.754.700-2;Fundación
137;83.198.100-8;Sociedad de Responsabilidad Limitada
714;78.625.220-2;Sociedad Anónima
171;87.894.800-9;Sociedad de Responsabilidad Limitada
104;88.629.900-1;Corporación de Derecho Privado
754;76.066.057-4;Sociedad por Acciones
129;78.206.800-8;Sociedad por Acciones
132;96.633.950-0;Corporación de Derecho Privado
117;87.845.200-3;Sociedad Anónima
100;87.152.900-0;Corporación de Derecho Privado
103;82.920.700-1;Corporación de Derecho Privado
676;76.324.010-K;Sociedad de Responsabilidad Limitada
193;73.283.500-8;Corporación de Derecho Privado
113;96.513.060-8;Corporación de Derecho Privado
152;78.230.020-2;Sociedad Anónima
101;88.502.100-K;Sociedad de Responsabilidad Limitada
155;78.205.980-7;Sociedad de Responsabilidad Limitada
693;79.868.420-5;Sociedad Anónima
106;79.996.010-9;Sociedad Anónima
162;78.212.360-2;Corporación de Derecho Privado
116;87.787.700-0;Corporación de Derecho Privado
315;78.243.340-7;Sociedad de Responsabilidad Limitada
261;79.999.850-5;Sociedad de Responsabilidad Limitada
258;78.215.000-6;Sociedad de Responsabilidad Limitada
492;77.509.120-7;Sociedad de Responsabilidad Limitada
229;78.167.980-1;Sociedad de Responsabilidad Limitada
591;65.183.530-5;Corporación de Derecho Privado
536;96.958.370-4;Sociedad Anónima
221;72.755.300-2;Fundación
398;79.921.960-3;Sociedad de Responsabilidad Limitada
305;79.526.720-4;Sociedad de Responsabilidad Limitada
307;78.191.760-5;Sociedad de Responsabilidad Limitada
782;76.108.647-2;Sociedad de Responsabilidad Limitada
374;78.197.040-9;Sociedad de Responsabilidad Limitada
390;79.693.220-1;Sociedad Anónima
280;89.130.800-0;Sociedad de Responsabilidad Limitada
228;78.205.970-K;Sociedad de Responsabilidad Limitada
285;71.096.900-0;Sociedad de Responsabilidad Limitada
679;76.295.340-4;Sociedad Anónima
273;89.921.100-6;Sociedad de Responsabilidad Limitada
498;77.532.050-8;Sociedad Anónima
554;77.674.680-0;Sociedad de Responsabilidad Limitada
224;88.370.700-1;Sociedad de Responsabilidad Limitada
550;96.941.460-0;Sociedad por Acciones
484;96.934.750-4;Sociedad Anónima
109;72.241.200-1;Corporación de Derecho Privado
119;71.663.200-8;Fundación
183;78.266.770-K;Sociedad de Responsabilidad Limitada
709;76.002.755-3;Sociedad Anónima
743;76.158.605-K;Sociedad de Personas - Ltda
131;79.770.080-0;Sociedad de Responsabilidad Limitada
140;79.822.490-5;Sociedad de Responsabilidad Limitada
133;72.090.300-8;Fundación
138;78.237.610-1;Sociedad de Responsabilidad Limitada
148;65.064.320-8;Fundación
126;96.635.520-4;Sociedad Anónima
165;79.963.770-7;Sociedad Anónima
767;76.113.014-5;Sociedad Anónima
